id_venta,producto,cantidad,precio_unitario,total,fecha
1,Celular,3,2706,8118,2025-01-15
2,Monitor,2,253,506,2025-08-17
3,Auriculares,4,2672,10688,2025-03-20
4,Impresora,3,2394,7182,2025-01-27
5,Celular,1,2292,2292,2025-08-13
6,Memoria USB,2,986,1972,2024-06-29
7,Teclado,1,909,909,2024-02-12
8,Celular,4,3883,15532,2024-10-26
9,Auriculares,1,3420,3420,2024-11-27
10,Impresora,3,54,162,2023-12-01
11,Monitor,3,4562,13686,2023-09-07
12,Auriculares,4,3543,14172,2025-07-31
13,Auriculares,1,1783,1783,2024-05-06
14,Teclado,4,3311,13244,2024-04-22
15,Tablet,1,2508,2508,2024-08-04
16,Impresora,2,2720,5440,2024-04-27
17,Mouse,3,1578,4734,2023-12-05
18,Auriculares,4,4710,18840,2025-07-16
19,Tablet,2,2296,4592,2025-06-19
20,Mouse,2,4026,8052,2024-06-04
21,Impresora,4,4459,17836,2024-02-07
22,Laptop,4,1123,4492,2024-10-15
23,Memoria USB,2,1439,2878,2023-10-08
24,Tablet,1,1498,1498,2023-10-04
25,Disco Duro,2,3934,7868,2024-07-08
26,Laptop,4,3762,15048,2024-03-30
27,Memoria USB,2,2976,5952,2025-01-16
28,Teclado,1,1402,1402,2025-08-03
29,Celular,3,2594,7782,2024-11-05
30,Monitor,3,3404,10212,2024-01-13
31,Disco Duro,2,1589,3178,2023-09-19
32,Teclado,1,1914,1914,2025-02-25
33,Impresora,3,2263,6789,2025-06-11
34,Teclado,2,1886,3772,2025-07-12
35,Celular,2,48,96,2024-02-05
36,Impresora,1,725,725,2025-05-18
37,Disco Duro,4,1040,4160,2025-03-30
38,Celular,2,2083,4166,2024-04-27
39,Mouse,4,1466,5864,2024-08-13
40,Monitor,4,3684,14736,2023-12-11
41,Disco Duro,3,3007,9021,2025-07-14
42,Mouse,4,3622,14488,2025-07-22
43,Memoria USB,1,3705,3705,2025-08-10
44,Disco Duro,3,3388,10164,2024-04-12
45,Memoria USB,3,3601,10803,2023-09-15
46,Impresora,3,2782,8346,2023-09-17
47,Mouse,2,4057,8114,2024-09-06
48,Monitor,2,592,1184,2025-08-21
49,Celular,4,4108,16432,2024-08-02
50,Auriculares,3,634,1902,2024-09-03
51,Teclado,3,4070,12210,2025-01-25
52,Laptop,1,345,345,2023-09-08
53,Monitor,4,3760,15040,2024-04-23
54,Mouse,1,378,378,2025-08-09
55,Auriculares,4,3797,15188,2025-05-07
56,Monitor,4,2391,9564,2025-08-08
57,Mouse,2,1741,3482,2025-02-11
58,Tablet,2,1369,2738,2025-03-27
59,Tablet,1,3716,3716,2025-07-10
60,Memoria USB,4,3916,15664,2024-03-11
61,Monitor,3,4280,12840,2024-04-26
62,Tablet,2,1616,3232,2023-12-18
63,Mouse,3,1647,4941,2023-08-31
64,Memoria USB,1,2522,2522,2025-04-11
65,Mouse,2,3828,7656,2023-09-14
66,Memoria USB,2,212,424,2024-04-18
67,Monitor,4,2694,10776,2025-03-29
68,Auriculares,1,3865,3865,2023-09-18
69,Celular,4,2597,10388,2023-11-11
70,Disco Duro,2,111,222,2025-04-09
71,Auriculares,1,4254,4254,2024-03-08
72,Impresora,2,500,1000,2025-02-27
73,Mouse,1,2936,2936,2023-11-22
74,Impresora,2,4455,8910,2023-11-14
75,Auriculares,3,1095,3285,2024-06-17
76,Memoria USB,3,2533,7599,2024-06-13
77,Disco Duro,4,818,3272,2025-05-30
78,Disco Duro,3,4590,13770,2024-11-18
79,Laptop,2,3969,7938,2024-05-29
80,Disco Duro,2,624,1248,2023-10-20
81,Celular,3,2999,8997,2024-07-29
82,Disco Duro,4,4936,19744,2024-11-29
83,Auriculares,3,617,1851,2024-07-29
84,Laptop,1,1552,1552,2025-04-23
85,Auriculares,1,533,533,2023-10-23
86,Auriculares,1,1897,1897,2025-05-08
87,Teclado,3,3992,11976,2024-10-24
88,Laptop,3,3863,11589,2025-06-10
89,Auriculares,3,1719,5157,2025-08-19
90,Teclado,1,1049,1049,2024-05-04
91,Teclado,4,4615,18460,2025-07-28
92,Laptop,2,736,1472,2024-08-03
93,Impresora,3,4106,12318,2025-01-29
94,Memoria USB,4,685,2740,2024-06-21
95,Celular,2,2228,4456,2025-04-28
96,Memoria USB,2,1099,2198,2024-04-23
97,Disco Duro,2,247,494,2024-10-07
98,Celular,4,168,672,2024-03-26
99,Disco Duro,4,1089,4356,2025-01-19
100,Auriculares,1,4747,4747,2024-12-08
101,Mouse,4,1383,5532,2023-09-27
102,Laptop,4,4528,18112,2024-02-16
103,Celular,4,1775,7100,2024-09-12
104,Celular,2,539,1078,2023-09-08
105,Auriculares,3,3564,10692,2025-08-02
106,Impresora,1,2342,2342,2023-10-09
107,Teclado,3,1122,3366,2023-10-23
108,Auriculares,3,617,1851,2023-10-30
109,Tablet,4,3293,13172,2025-06-11
110,Teclado,1,4069,4069,2024-08-22
